statusCode,firstName,lastName,email,phoneNumber,streetAddress,city,state,zipCode,country
200,John,Doe,johndoe@example.com,1234567890,123 Main St,Anytown,CA,12345,USA
201,Jane,Smith,janesmith@example.com,0987654321,456 Elm St,Somecity,NY,67890,USA
200,Bob,Johnson,bobjohnson@example.com,1122334455,789 Pine St,Othercity,TX,11223,USA
201,Alice,Williams,alicewilliams@example.com,5566778899,321 Oak St,Anycity,FL,33445,USA
200,Charlie,Brown,charliebrown@example.com,9988776655,654 Maple St,Somecity,WA,78765,USA
201,Daniel,Jackson,danieljackson@example.com,8877665544,987 Walnut St,Othercity,OR,90807,USA
200,Emily,Taylor,emilytaylor@example.com,7766554433,345 Cedar St,Anycity,NC,27012,USA
201,Frank,Miller,frankmiller@example.com,6655443322,102 Birch St,Somecity,MI,48104,USA
200,Gina,Davis,ginadavis@example.com,5544332211,678 Willow St,Othercity,AZ,85281,USA
201,Hank,Anderson,hankanderson@example.com,4433221100,204 Cherry St,Anycity,CO,80014,USA
